Borough,Neighborhood,Latitude,Longitude
San Juan,Old San Juan,18.4632,-66.1148
San Juan,Condado,18.4077,-66.0565
San Juan,Santurce,18.4481,-66.0642
San Juan,Hato Rey,18.4226,-66.051
San Juan,Ocean Park,18.4533,-66.0508
San Juan,Rio Piedras,18.3895,-66.0404
San Juan,Miramar,18.4549,-66.0835
San Juan,Monacillo,18.3616,-66.0724
San Juan,Monacillo Urbano,18.3831,-66.0761
San Juan,Pueblo,18.3934,-66.0493
San Juan,Quebrada Arena,18.3142,-66.0791
San Juan,Sabana Llana Norte,18.4085,-66.0166
San Juan,Sabana Llana Sur,18.3879,-66.0285
San Juan,San Juan Antiguo,18.468,-66.1088
San Juan,Tortugo,18.3423,-66.0925
San Juan,Universidad,18.4081,-66.0449
Caguas,Beatriz,18.1723,-66.0761
Caguas,Bairoa,18.2659,-66.0285
Caguas,Borirquen,18.2341,-66.0432
Caguas,Cañabón,18.2405,-66.0672
Caguas,Cañaboncito,18.2116,-66.0727
Caguas,Río Cañas,18.2801,-66.0523
Caguas,Turabo,18.2025,-66.0523
Caguas,San Antonio,18.3031,-66.0374
Caguas,San Salvador,18.1359,-66.0523
Caguas,Tomás de Castro,18.2088,-66.0166
Caguas,Pueblo,18.2388,-66.0352
Carolina,Barrazas,18.3198,-65.9334
Carolina,Buena Vista,18.3933,-65.9549
Carolina,Cacao,18.3491,-65.9661
Carolina,Cangrejo Arriba,18.4402,-66.0047
Carolina,Canovanillas,18.3546,-65.9244
Carolina,Carolina barrio-pueblo[7],18.3819,-65.9579
Carolina,Carruzos,18.315,-65.9185
Carolina,Cedro,18.2873,-65.9185
Carolina,Martín González,18.3705,-65.9809
Carolina,Sabana Abajo,18.4148,-65.9809
Carolina,San Antón,18.3911,-65.9899
Carolina,Santa Cruz,18.3514,-65.9423
Carolina,Trujillo Bajo,18.3682,-65.9493
Bayamon,Buena Vista,18.3346,-66.1921
Bayamon,Cerro Gordo,18.36,-66.1742
Bayamon,Dajaos,18.31,-66.1951
Bayamon,Guaraguao Abajo,18.3339,-66.1445
Bayamon,Guaraguao Arriba,18.2927,-66.1475
Bayamon,Hato Tejas,18.4084,-66.1832
Bayamon,Juan Sánchez,18.4021,-66.1356
Bayamon,Minillas,18.3608,-66.1594
Bayamon,Nuevo,18.2863,-66.1832
Bayamon,Pájaros,18.3608,-66.2218
Bayamon, Bayamón barrio-pueblo,18.3958,-66.1504
Bayamon,Santa Olaya,18.318,-66.1713
