,ID,Name,Likes,Rating
0,54ba959b498ec165df98fb0e,Señor Paleta,190,9.1
0,4cb2368a1463a1430eababa9,Café Cola'o,66,8.7
0,4d56f930cf1b37049612c63f,Café Cuatro Sombras,369,8.7
0,4ce71c309f776ea87ce55522,Carli's Fine Bistro and Piano,70,8.7
0,562bc873498e85c974281c88,Princesa Gastrobar,60,9.2
0,4d24944e14f2b1f740956fbe,Paseo de la Princesa,142,9.1
0,4ce5863b2b4e721e503c352b,Pirilo Pizza Rústica,522,9.2
0,4b6312f5f964a5201e612ae3,Verde Mesa,86,8.6
0,5269f80711d2443fb8ff45cb,Flavors of San Juan Food & Culture Tours,11,8.2
0,4ba120cff964a520839a37e3,Café Manolín,165,8.2
0,4d0835a5e554721e44dec0f8,Poets Passage,73,8.9
0,4c2a32758abca593814afe1f,Mojito's Restaurant,78,8.3
0,4c1c0e87eac020a161f245c2,Triana Tapas & Flamenco,52,7.9
0,4f8a0e04e4b0af4d4e84422f,Marmalade Restaurant And Wine Bar,207,8.9
0,4c0a82987e3fc9281cb1f382,Puerto Rico Port Old San Juan,336,8.8
0,52507f9f11d27af62748e915,Chocobar Cortés,228,8.7
0,57890847498e908e5b831003,La Casita de Rones,16,7.8
0,4bf3f8da354e9c74a6ac2602,The Cigar House,52,8.0
0,544d145c498eb6708796c627,Jardin del Paseo la Princesa,12,7.8
0,4ba428a7f964a520928738e3,311 Trois Cent Onze,20,8.4
0,4dd0037b7d8b975f18f541fc,Istanbul Turkish Restaurant,48,8.1
0,4b69b654f964a5205daf2be3,Punto de Vista,147,8.2
0,598b3cacd807ee39ac1e7e30,Stuffed Avocado Shop,14,8.4
0,52dc7c3f498e66c02029676d,La Cueva Del Mar,116,7.7
0,4b7f66eff964a5209b2c30e3,The Red Monkey,12,7.7
0,576191ad498e0dbd64de5b4a,Café Finca Cialitos,14,8.4
0,4bc27461920eb713b8501c2c,Plaza De Armas,104,8.3
0,4ad8c47af964a5207a1421e3,Cafe Mallorca,196,8.5
0,4c4e3335fb742d7ff043eb2d,La Cucina di Ivo,23,8.7
0,4da9dd68a86e771ea7162a5d,Waffle Era Tea Room,96,7.7
0,545aa9bd498e7c33c35be2a0,Birra y Empanadas,26,8.3
0,4b4e08f4f964a52007df26e3,Raices Restaurant,270,7.5
0,4c8a7f116418a143026ee0ce,Puerto Rican Art & Crafts,22,7.5
0,4ff77756e4b045d12e4cf812,Yogen Früz,11,7.9
0,568f218f498eb74f14762a28,Smoke it and more,12,7.5
0,4b943beff964a520447034e3,Casa Blanca Hotel,33,7.9
0,4d792469c1d56ea8e97bdb2b,Marilyn's Place,75,8.5
0,54e4e9bc498eccd4022821ee,Hecho en Casa,33,7.7
0,5148e1b9e4b05523e0cd8698,Olé,17,7.8
0,4b9416edf964a520596734e3,La Madre,109,8.3
0,4ba54b0af964a5202df738e3,Café el Punto,75,7.8
0,4f29b34fe4b004762aae1274,LA FOCACCIA,34,7.5
0,5058d086e4b0a4e74d225309,Los 2 Cuernitos,10,7.6
0,4b480f32f964a520534726e3,Sheraton Old San Juan Hotel,131,7.6
0,56d4e738cd105c5e7a9aec11,Buns Burger Shop,37,7.5
0,4bbaa4ca7421a5937d15c440,Hotel Da House,18,7.7
0,4bedc934767dc9b64a78d3e9,Teatro Tapia,37,7.7
0,4b7c31cdf964a52095832fe3,Galeria Botello,7,7.6
0,4f2ab779e4b0d4e47dc169db,Carthage Express,21,7.2
