,Borough,zipcode,Latitude,Longitude
0,Bayamon,00956,18.323022,-66.172992
1,Bayamon,00957,18.36724,-66.185126
2,Bayamon,00958,18.4008,-66.1589
3,Bayamon,00959,18.392506,-66.158212
4,Bayamon,00960,18.393064,-66.154817
5,Bayamon,00961,18.413087,-66.161162
0,Caguas,00725,18.205646,-66.034458
1,Caguas,00726,18.2364,-66.0489
2,Caguas,00727,18.21671,-66.055275
0,Carolina,00981,18.4683,-66.1064
1,Carolina,00982,18.409908,-65.997644
2,Carolina,00983,18.415614,-65.977729
3,Carolina,00979,18.438381,-66.011814
4,Carolina,00984,18.3828,-65.9578
5,Carolina,00985,18.406221,-65.943942
6,Carolina,00988,18.3828,-65.9578
7,Carolina,00986,18.3828,-65.9578
8,Carolina,00987,18.331133,-65.950318
0,San Juan,00923,18.41138,-66.033958
1,San Juan,00924,18.400569,-66.00496
2,San Juan,00901,18.4654,-66.104373
3,San Juan,00902,18.4683,-66.1061
4,San Juan,00906,18.46462,-66.10078
5,San Juan,00907,18.451852,-66.084976
6,San Juan,00908,18.4683,-66.1061
7,San Juan,00909,18.441112,-66.066068
8,San Juan,00910,18.45,-66.07
9,San Juan,00911,18.451408,-66.057889
10,San Juan,00912,18.445384,-66.061116
11,San Juan,00913,18.450365,-66.044399
12,San Juan,00914,18.4683,-66.1061
13,San Juan,00915,18.437208,-66.044602
14,San Juan,00916,18.4683,-66.1061
15,San Juan,00917,18.421194,-66.049352
16,San Juan,00918,18.423656,-66.067402
17,San Juan,00919,18.4683,-66.1061
18,San Juan,00920,18.416061,-66.089552
19,San Juan,00921,18.390532,-66.08842
20,San Juan,00922,18.4683,-66.1061
21,San Juan,00925,18.403282,-66.047812
22,San Juan,00926,18.34646,-66.062461
23,San Juan,00927,18.38759,-66.072006
24,San Juan,00929,18.4683,-66.1061
25,San Juan,00930,18.45,-66.06
26,San Juan,00935,18.4683,-66.1061
27,San Juan,00936,18.4683,-66.1061
28,San Juan,00928,18.4683,-66.1061
29,San Juan,00931,18.4683,-66.1061
30,San Juan,00933,18.4683,-66.1061
31,San Juan,00937,18.4683,-66.1061
32,San Juan,00939,18.4683,-66.1061
33,San Juan,00940,18.466229,-66.105735
34,San Juan,00955,18.4697,-66.1179
35,San Juan,00975,18.4683,-66.1064
